番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
7194,"テレビアニメーション","","アークエとガッチンポー","アークエトガッチンポー","","","26","","2004-10-02"
7175,"テレビアニメーション","","アークエとガッチンポー てんこもり","アークエトガッチンポーテンコモリ","","","12","","2005-01-07"
2051,"テレビアニメーション","","ArcTheLad","アークザラッド","","","26","","1999-04-05"
7521,"ゲーム","","アークザラッド","アークザラッド(ゲーム1)","","","","","1995-06-30"
7522,"ゲーム","","アークザラッド II","アークザラッド(ゲーム2)","","","","","1996-11-01"
7523,"ゲーム","","アークザラッド III","アークザラッド(ゲーム3)","","","","","1999-10-28"
6149,"ゲーム","ロールプレイング","アークザラッド 精霊の黄昏","アークザラッドセイレイノタソガレ","","","","","2003-03-20"
9215,"ゲーム","ロールプレイング","アークス I・II・III","アークスワンツースリー","","","","","1993-07-23"
8214,"ゲーム","","ARCTURUS~アークトゥルス~","アークトゥルス","","","","","2003-06-28"
15908,"オリジナルビデオアニメーション","","アークIX","アークナイン","","","1","","2013-07-02"
15286,"ゲーム","オンラインRPG","ARK FRONTIER-時空漂流-","アークフロンティアジクウヒョウリュウ","","","","","2012-07-17"
11646,"ゲーム","ロールプレイング","ARCRISE FANTASIA-アークライズ ファンタジア-","アークライズファンタジア","","","","全年齢","2009-06-04"
5033,"オリジナルビデオアニメーション","","アーケードゲーマーふぶき","アーケードゲーマーフブキ","","","4","","2002-02-25"
6772,"オリジナルビデオアニメーション","","アーケードゲーマーふぶき 特別編 ~カベノムコウノパラダイス~","アーケードゲーマーフブキ","","","1","","2003-03-28"
1761,"オリジナルビデオアニメーション","","Earthian","アーシアン","","","1","","1989-07-26"
1762,"オリジナルビデオアニメーション","","EARTHIAN III","アーシアンスリー","","","2","","1996-09-26"
2409,"オリジナルビデオアニメーション","","Earthian II","アーシアンツー","","","1","","1990-09-27"
1,"テレビアニメーション","","アーシャ","アーシャ","","","30","","1994-01-09"
14901,"ゲーム","ロールプレイング","アーシャのアトリエ~黄昏の大地の錬金術士~","アーシャノアトリエタソガレノダイチノレンキンジュツシ","","","","","2012-06-28"
5469,"ゲーム","アドベンチャー","アージュマニアックス~伊隅四姉妹最期の日~","アージュマニアックスイスミヨンシマイサイゴノヒ","","","","18才以上","2000-06-23"
3975,"ゲーム","","アートカミオン 芸術伝","アートカミオンゲイジュツデン","","","","","1999-12-16"
8250,"ゲーム","","EARNEST EVANS","アーネストエバンス","","","","","1991-12-00"
7301,"オリジナルビデオアニメーション","","アーバンスクエア~琥珀の追撃~","アーバンスクエア","","","1","","1988-00-00"
17845,"ゲーム","アクション","蒼き雷霆ガンヴォルト","アームドブルーガンヴォルト","","","","12才以上","2014-08-20"
13212,"ゲーム","アドベンチャー","ARMEN NOIR","アーメン・ノワール","","","","12才以上","2010-12-09"
13295,"ゲーム","アドベンチャー","Are you Alice?","アーユーアリス","","","","15才以上","2011-04-07"
3937,"ゲーム","スポーツ","R~Rock'n Riders~","アール","","","","","1999-04-01"
7881,"ゲーム","アドベンチャー","Re:","アールイーコロン","","","","18才以上","2006-01-27"
9803,"ドラマ","","RHプラス","アールエイチプラス","","","13","","2008-01-02"
8714,"テレビアニメーション","","RGBアドベンチャー","アールジービーアドベンチャー","","","6","","2006-11-19"
13593,"テレビアニメーション","","R-15","アールジュウゴ","","","","","2011-07-10"
16064,"ゲーム","アドベンチャー","R-10 爆弾カノジョ R-10 Bomb Girlfriend.","アールジュウバクダンカノジョアールテンボムガールフレンド","","","","18才以上","2013-04-28"
6211,"ゲーム","シューティング","R-TYPE FINAL","アールタイプファイナル","","","","","2003-07-17"
15884,"テレビアニメーション","","RDG レッドデータガール","アールディージーレッドデータガール","","","12","","2013-04-04"
9691,"テレビアニメーション","","RD 潜脳調査室","アールディーセンノウチョウサシツ","","","26","","2008-04-09"
6220,"ゲーム","アドベンチャー","r.p.m.~瞳の中の想い出~","アールピーエムヒトミノナカノオモイデ","","","","18才以上","2002-10-11"
9137,"ゲーム","アドベンチャー","ああっお嬢様っ","アアッオジョウサマッ","","","","18才以上","2007-04-27"
2,"オリジナルビデオアニメーション","","ああっ女神さまっ","アアッメガミサマッ","","","5","","1993-02-21"
13240,"オリジナルビデオアニメーション","","ああっ女神さまっ(新OAD)","アアッメガミサマッ","","","3","","2011-02-23"
4179,"劇場用アニメーション","","ああっ女神さまっ","アアッメガミサマッ","","","1","","2000-10-21"
9659,"ゲーム","アドベンチャー","ああっ女神さまっ","アアッメガミサマッ","","","","","2007-02-22"
7069,"テレビアニメーション","","ああっ女神さまっ","アアッメガミサマッ1","","","25","","2005-01-07"
8063,"テレビアニメーション","","ああっ女神さまっ それぞれの翼","アアッメガミサマッ2ソレゾレノツバサ","","","22","","2006-04-07"
9451,"テレビアニメーション","","ああっ女神さまっ 闘う翼","アアッメガミサマッタタカウツバサ","","","2","","2007-12-09"
1643,"テレビアニメーション","","ああっ女神さまっ 小っちゃいって事は便利だねっ","アアッメガミサマッチッチャイッテコトハベンリダネッ","","","48","","1998-04-06"
13984,"一般映画","","嗚呼!!花の応援団","アアハナノオウエンダン","","","","","1976-08-21"
3,"テレビ特撮","","アイアンキング","アイアンキング","","","26","","1972-10-08"
2863,"オリジナルビデオアニメーション","","鉄の処女 JUN","アイアンバージンジュン","","","1","","1992-07-21"
4,"テレビアニメーション","","アイアンマン","アイアンマン","","","","","1995-04-00"
12529,"テレビアニメーション","","アイアンマン","アイアンマン","","","12","","2010-10-01"
6450,"ゲーム","アドベンチャー","藍色ノ狂詩曲","アイイロノラプソディー","","","","18才以上","2003-11-14"
5862,"ゲーム","アドベンチャー","I wish…とどけ、この想い","アイウィッシュトドケコノオモイ","","","","","1999-02-26"
4999,"テレビアニメーション","","i-wish you were here-","アイウィッシュユーアーヒアー","","","4","","2001-11-04"
15963,"テレビアニメーション","","あいうら","アイウラ","","","12","","2013-04-10"
11528,"ゲーム","アドベンチャー","I/O revision II","アイオーリビジョンツー","","","","","2008-08-29"
10223,"ゲーム","アドベンチャー","Aion Garden","アイオンガーデン","","","","18才以上","2008-07-18"
1778,"オリジナルビデオアニメーション","","AIKa","アイカ","","","7","","1997-04-25"
